B1_median,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8_median,B8A_median,B9_median,B10_median,B11_median,B12_median,EVI_median,GNDVI_median,NDMI_median,NDVI_median,VH_median,VV_median,Year,Field
0.0196981709450483,0.0275400653481483,0.0642078146338463,0.0466544553637505,0.111846633255482,0.309707522392273,0.372942984104156,0.37598329782486,0.390525698661804,0.434547632932663,0.00880700908601284,0.186611503362656,0.107132904231548,0.563016474246979,0.712683796882629,0.346924722194672,0.777577042579651,-17.6175384521484,-11.0379991531372,2018,ARRA 15 CR
0.0382043868303299,0.0432244203984737,0.0747648030519485,0.0768029689788818,0.129793152213097,0.267645269632339,0.309747397899628,0.315512329339981,0.331263035535812,0.386836349964142,0.0334660187363625,0.221899911761284,0.159167990088463,0.402716219425201,0.576769590377808,0.142567753791809,0.5643031001091,-17.2521514892578,-10.4955921173096,2019,ARRA 15 CR
0.0225246604532003,0.0275286417454481,0.0645895898342133,0.0454819872975349,0.112018577754498,0.326877862215042,0.40104016661644,0.410526007413864,0.426565021276474,0.46391436457634,0.0577517561614513,0.192904517054558,0.106682285666466,0.613730311393738,0.721844494342804,0.356162488460541,0.791282832622528,-17.7561912536621,-11.0113077163696,2020,ARRA 15 CR
0.0246092639863491,0.0253525488078594,0.0648468062281609,0.0393547788262367,0.120815433561802,0.35718509554863,0.417075335979462,0.420830398797989,0.435063928365707,0.478083729743958,0.038602277636528,0.193983808159828,0.105361096560955,0.648127615451813,0.724653124809265,0.367091715335846,0.819518744945526,-16.1405544281006,-9.16636371612549,2018,CRIMSON 04
0.0451109185814857,0.0445601306855679,0.0690607950091362,0.0740266814827919,0.125981464982033,0.232435077428818,0.262507975101471,0.273370295763016,0.289056330919266,0.399549812078476,0.0687514394521713,0.243044450879097,0.16957138478756,0.362131416797638,0.591970980167389,0.0564469993114471,0.570036232471466,-16.6549510955811,-9.68681907653809,2019,CRIMSON 04
0.0356599949300289,0.0360764339566231,0.0639922916889191,0.0676406472921371,0.122569017112255,0.23603130877018,0.268883317708969,0.281281232833862,0.294146686792374,0.422052890062332,0.500420093536377,0.230323106050491,0.158960521221161,0.375511914491653,0.62159138917923,0.0899673625826836,0.60029935836792,-16.6395511627197,-9.86571598052979,2020,CRIMSON 04
0.0176718477159739,0.0225476752966642,0.0615503564476967,0.0335064567625523,0.114784337580204,0.37617102265358,0.452623099088669,0.45716792345047,0.471185773611069,0.51847517490387,0.0137614924460649,0.188414067029953,0.0926259011030197,0.7061647772789,0.750355660915375,0.415575802326202,0.85493141412735,-15.9669618606567,-9.24606704711914,2018,CRIMSON 99-00
0.0346425287425518,0.042561698704958,0.0666933655738831,0.0766296833753586,0.123177446424961,0.218675792217255,0.247808158397675,0.259399354457855,0.276407361030579,0.400497287511826,0.0637997016310692,0.253142863512039,0.179590553045273,0.324195861816406,0.57353013753891,0.00490839686244726,0.528378307819366,-16.5008888244629,-9.74841594696045,2019,CRIMSON 99-00
0.0397884361445904,0.0480476953089237,0.0718979388475418,0.0862480476498604,0.130464062094688,0.216596648097038,0.246856540441513,0.262151032686234,0.276007860898972,0.428469985723495,2.39406251907349,0.25449338555336,0.18700584769249,0.306325137615204,0.554180860519409,0.00449342466890812,0.487019687891006,-16.77783203125,-10.0621643066406,2020,CRIMSON 99-00
0.0236607119441032,0.0305481906980276,0.0610115341842175,0.0561595223844051,0.115425519645214,0.278457641601562,0.333461403846741,0.335943728685379,0.357595682144165,0.425103962421417,0.0142422886565328,0.203764513134956,0.127014756202698,0.482576608657837,0.685827970504761,0.252335101366043,0.708821356296539,-16.5029582977295,-9.917724609375,2018,INIAGRAPE ONE 14
